,Word,Length,Freq_KF,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,SUBTLCD,LgSUBTLCD,Ortho_N,Phono_N,Phono_N_H,OG_N,OG_N_H,Freq_N,Freq_N_P,Freq_N_PH,Freq_N_OG,Freq_N_OGH,Freq_Greater,Freq_G_Mean,Freq_Less,Freq_L_Mean,Freq_Rel,OLD,OLDF,PLD,PLDF,Concreteness_Rating,Semantic_Neighborhood_Density,Semantic_Neighbors,Semantic_Diversity,Age_Of_Acquisition,Body_Object_Interaction,Emotional_Valence,Emotional_Arousal,Emotional_Dominance,Assoc_Freq_R1,Assoc_Types_R1,Assoc_Freq_R123,Assoc_Types_R123,BG_Sum,BG_Mean,BG_Freq_By_Pos,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy,diff,I_Mean_Accuracy_diff
39061,visitations,11,1,135,4.905,0.180,1.000,0.100,0.954,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.100,6.592,3.300,6.608,#,0.293,0,#,10.470,#,#,#,#,#,#,#,#,"27,216","2,721.600","4,219","v%I.z@t.""e.Sn=z",9,4,{visit}>ation>>s>,"{v%I.z@t}.>""e.Sn=>>z>",3,NN,757.714,-0.146,251.584,28,0.93,0.006534038819710209,0.0536000000000002
21787,materialize,11,3,508,6.23,0.490,1.415,0.290,1.398,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.200,5.225,3.300,5.590,2.460,0.373,0,1.909,10.050,#,5.750,3.950,6.550,#,#,6,3,"27,324","2,732.400","4,486","m@.t""I.ri@l.aIz",10,4,{material}>ise>,"{m@.t""I.ri@l}.>aIz>",2,VB,797.750,0.020,246.673,28,0.93,0.002591713721784496,0.0536000000000002
33580,speculating,11,4,811,6.698,0.610,1.505,0.360,1.491,0,1,1,0,0,#,7.493,7.493,#,#,#,#,#,#,#,3.300,6.606,3.450,6.018,#,0.330,0,1.957,11.280,#,#,#,#,#,#,#,#,"27,277","2,727.700","3,265","sp""E.kj@.l%e4.IN",11,4,{specul--ate}>ing>,"{sp""E.kj@.l--%e4}.>IN>",3,VB,715.818,-0.227,152.393,33,0.94,0.004307355199585501,0.0636000000000001
11530,elaboration,11,2,390,5.966,0.080,0.699,0.040,0.602,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.300,6.177,3.150,5.907,2.110,0.424,0,1.660,13.630,#,#,#,#,2,1,5,3,"27,459","2,745.900","3,732","I.l%a.b@`.r""e.Sn=",9,5,{e--labor--ate}>ion>,"{I-.-l%a.b@`.r--""e.S$}>n=>",4,NN,774.194,-0.044,303.557,31,0.94,0.0023361926506226447,0.0636000000000001
18651,inspections,11,3,787,6.668,0.550,1.462,0.300,1.415,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.750,6.744,2.800,7.471,#,0.560,1,1.431,8.470,#,#,#,#,#,#,1,1,"27,446","2,744.600","4,263","In.sp""Ek.Sn=z",9,3,{in--spect}>ion>>s>,"{In-.-sp""Ek.S$}>n=>>z>",4,NN,835.097,0.091,340.960,31,0.94,0.0018616535184649199,0.0636000000000001
7481,constituent,11,5,963,6.87,0.120,0.845,0.070,0.845,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.350,7.532,4.250,7.064,3.120,0.564,632,1.763,14.940,#,#,#,#,2,2,7,7,"27,430","2,743.000","4,925","k@n.st""I.tSu@nt",11,3,{con--stitue--nt},"{k@n-.-st""I.tSu--@nt}",3,NN,936.613,0.481,353.320,31,0.94,0.0012776053558092588,0.0636000000000001
11430,educational,11,70,"20,906",9.948,3.270,2.225,1.680,2.152,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.650,7.238,4.300,6.060,2.100,0.652,"6,524",1.454,8.260,#,6.600,4.520,5.680,3,3,27,23,"27,654","2,765.400","2,194","%E.dZ@.k""e.Sn=.@l",9,5,{educ--ate}>ion>>al>,"{%E.dZ@.k--""e.S$}>n=>.>@l>",4,JJ,843.677,0.274,351.588,31,0.94,0.009454279632988515,0.0636000000000001
14165,forebearing,11,1,0,0.0,#,#,#,#,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.700,5.685,4.100,5.145,#,0.159,0,#,#,#,#,#,#,#,#,#,#,"27,451","2,745.100","2,844","""for%bErIN",8,3,#,,#,#,819.094,0.096,320.221,32,0.94,0.002044168569294814,0.0636000000000001
12720,existential,11,9,485,6.184,0.730,1.580,0.320,1.447,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.000,6.741,5.100,5.681,1.730,0.499,0,1.113,14.940,#,5.860,4.280,6.060,4,3,20,15,"27,263","2,726.300","3,284","%Eg.zIst.""En.Sl=",10,4,{ex--ist}>ence>>ial>,"{%Eg-.-zIst$}.>""En.S$>>l=>",4,JJ,930.226,0.401,354.418,31,0.94,0.004818397341909204,0.0636000000000001
24654,oscillating,11,1,303,5.714,0.140,0.903,0.080,0.903,0,1,1,0,0,#,6.447,6.447,#,#,#,#,#,#,#,3.950,6.326,3.350,6.328,3.390,0.452,0,1.348,12.610,#,#,#,#,1,1,9,8,"27,548","2,754.800","2,866","""A.s@.l%e4.IN",8,4,{oscill--ate}>ing>,"{""A.s@.l--%e4}.>IN>",3,VB,972.040,0.492,372.989,25,0.81,0.00558496055539476,0.06639999999999979
18389,inflections,11,4,118,4.771,0.100,0.778,0.060,0.778,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.500,6.809,2.550,7.349,#,0.400,0,0.979,10.330,#,#,#,#,#,#,#,#,"27,323","2,732.300","4,189","In.fl""Ek.Sn=z",9,3,{in--flect}>ion>>s>,"{In-.-fl""Ek.S$}>n=>>z>",4,NN,955.308,0.562,453.830,26,0.79,0.002628216731950475,0.08639999999999981
12114,entitlement,11,#,"1,200",7.09,0.240,1.114,0.140,1.114,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.600,6.277,4.250,6.121,1.790,0.446,0,1.367,12.620,#,#,#,#,3,2,29,25,"27,210","2,721.000","2,600","In.t""aI.4l=.m@nt",10,4,<en<{title}>ment>,"<In<.{t""aI.4l=}.>m@nt>",3,NN,833.438,0.057,273.694,32,0.97,0.006753056880706082,0.09360000000000013
16224,handwriting,11,5,"1,157",7.054,5.900,2.480,2.670,2.352,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.250,6.414,4.450,5.284,4.590,0.496,0,1.306,5.400,3.917,5.760,2.650,6.890,19,8,46,18,"27,212","2,721.200","3,536","h""and.r%aI4.IN",9,3,{hand}{write}>ing>,"{h""and}.{r%aI4}.>IN>",3,NN,811.909,0.094,288.566,33,0.97,0.006680050860374124,0.09360000000000013
1072,alternative,11,34,"30,931",10.34,9.330,2.679,4.850,2.611,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.050,6.412,4.200,6.737,2.460,0.675,"8,221",2.175,10.110,#,5.330,3.610,6.330,59,43,197,110,"27,624","2,762.400","4,195","Ol.t""3`.n@4.Iv",9,4,{altern--ate}>ive>,"{Ol.t""3`.n--@4$}.>Iv>",3,NN|JJ,685.667,-0.290,201.143,33,0.97,0.00835918932800915,0.09360000000000013
5528,certificate,11,7,"6,821",8.828,8.980,2.662,3.540,2.474,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.200,5.971,4.550,6.850,4.590,0.594,"2,855",1.478,8.420,5.042,6.000,3.610,5.470,32,17,113,49,"27,548","2,754.800","2,984","s@`.t""I.fI.k@t",9,4,{cert--ifi--cate},"{s@`.t--""I.fI-.-k@t}",3,NN,831.533,-0.048,338.401,30,0.97,0.00558496055539476,0.09360000000000013
29362,reinforcing,11,2,594,6.387,0.270,1.176,0.170,1.176,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.700,6.426,4.300,6.156,#,0.479,0,1.821,10.200,#,#,#,#,#,#,1,1,"27,659","2,765.900","2,928","r%i.In.f""Ors.IN",10,4,<re<<in<{force}>ing>,"<r%i<.<In<.{f""Ors}.>IN>",4,VB|NN|JJ,845.848,0.142,288.496,33,0.97,0.009636794683818409,0.09360000000000013
7715,conversions,11,6,"3,012",8.01,0.100,0.778,0.060,0.778,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.600,7.219,3.000,7.184,#,0.559,1,1.165,10.390,#,#,#,#,#,#,#,#,"27,510","2,751.000","6,127","k@n.v""3`.Zn=z",8,3,{con--verse}>ion>>s>,"{k@n-.-v""3`.Z$}>n=>>z>",4,NN,809.219,-0.047,283.351,32,0.97,0.004197846169087564,0.09360000000000013
38294,unrevealing,11,1,3,1.099,0.020,0.301,0.010,0.301,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.600,5.019,4.000,4.893,2.080,0.215,0,#,11.580,#,#,#,#,1,1,2,2,"27,305","2,730.500","2,816","%Vn.rI.v""il.IN",9,4,<un<{reveal}>ing>,"<%Vn<.{rI.v""il}.>IN>",3,JJ,923.484,0.630,339.435,31,0.97,0.003285270914938094,0.09360000000000013
36009,territorial,11,14,"2,210",7.701,1.670,1.935,0.880,1.875,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.050,6.096,3.500,6.088,2.710,0.606,"3,476",1.693,10.110,#,4.160,4.290,5.320,4,4,14,11,"27,364","2,736.400","2,760","t%E.r@.t""O.ri@l",10,4,{territory}>al>,"{t%E.r@.t""O.ri$}>@l>",2,JJ,787.000,-0.094,356.005,30,0.97,0.0011315933151453434,0.09360000000000013
39152,volunteered,11,5,"1,491",7.307,4.800,2.391,2.550,2.332,0,1,1,0,0,#,8.646,8.646,#,#,#,#,#,#,#,4.000,5.613,3.950,5.789,#,0.559,137,1.811,6.890,#,#,#,#,#,#,#,#,"27,473","2,747.300","2,217","v%A.l@n.t""Ird",9,3,{volunt--eer}>ed>,"{v%A.l@n.t--""Ir}>d>",3,VB,797.667,-0.049,415.564,33,0.97,0.002847234792946348,0.09360000000000013
27401,presentness,11,1,1,0.0,#,#,#,#,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.650,6.371,4.550,6.095,#,0.350,0,#,#,#,#,#,#,#,#,1,1,"27,639","2,763.900","3,793","pr""E.zn=t.n%Es",9,3,{pres--ent}{ness},"{pr""E.z--n=t}.{n%Es}",3,NN,732.227,0.023,275.049,22,0.76,0.008906734480498833,0.11639999999999984
21294,magistrates,11,3,153,5.03,0.100,0.778,0.050,0.699,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.100,5.665,4.550,6.283,#,0.568,2,1.289,12.780,#,#,#,#,#,#,#,#,"27,229","2,722.900","3,193","m""a.dZI.strets",10,3,{magistr--ate}>s>,"{m""a.dZI.str--et}>s>",3,NN,"1,015.280",0.729,266.175,25,0.76,0.006059499687552485,0.11639999999999984
1961,ascertained,11,4,400,5.991,0.270,1.176,0.150,1.146,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.750,6.897,3.700,6.089,#,0.363,0,1.760,12.680,#,#,#,#,#,#,1,1,"27,577","2,757.700","3,285","%a.s@`.t""end",7,3,{as--certain}>ed>,"{%a-.-s@`.t""en}>d>",3,VB,936.192,0.506,324.499,26,0.76,0.006643547850208146,0.11639999999999984
27557,printmaking,11,1,26,3.258,#,#,#,#,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.200,6.575,4.750,5.638,#,0.423,0,#,#,#,#,#,#,#,#,2,2,"27,474","2,747.400","2,991","pr""Int.m%ek.IN",10,3,{print}{make}>ing>,"{pr""Int}.{m%ek}.>IN>",3,VB|NN|JJ,905.735,0.275,398.663,34,1.0,0.002883737803112327,0.12360000000000015
12560,examination,11,29,"4,756",8.467,5.510,2.450,2.470,2.318,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.800,6.258,3.600,5.556,3.930,0.621,"4,700",1.833,8.000,2.846,5.050,4.500,5.050,31,18,99,57,"27,377","2,737.700","4,470","Ig.z%a.m@n.""e.Sn=",10,5,{examine}>ation>,"{Ig.z%a.m@n}.>""e.Sn=>",2,NN,742.758,-0.235,211.601,33,1.0,0.0006570541829876188,0.12360000000000015
7860,cornerstone,11,3,"1,131",7.031,0.670,1.544,0.360,1.491,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.450,6.444,5.000,5.453,4.040,0.548,0,2.092,11.740,2.773,5.900,3.330,6.320,3,3,6,5,"27,418","2,741.800","5,385","k""Or.n@`.st%on",9,3,{corner}{stone},"{k""Or.n@`}.{st%on}",2,NN,798.438,-0.010,345.413,32,1.0,0.000839569233817513,0.12360000000000015
17331,humiliating,11,4,804,6.69,5.880,2.479,2.990,2.401,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.700,5.546,5.050,5.683,1.860,0.459,0,1.813,9.890,#,2.160,5.500,2.850,10,4,18,7,"27,364","2,736.400","3,530","hju.m""I.li.%e4.IN",11,5,{humiliate}>ing>,"{hju.m""I.li.%e4}.>IN>",2,JJ|VB,742.971,-0.183,198.433,34,1.0,0.0011315933151453434,0.12360000000000015
29784,researchers,11,4,"9,033",9.109,1.120,1.763,0.480,1.613,0,1,1,0,0,#,6.068,6.068,#,#,#,#,#,#,#,3.750,6.212,3.550,7.052,#,0.634,"5,432",1.484,10.220,#,#,#,#,2,2,3,3,"27,171","2,717.100","3,250","r""i.s3`tS.@`z",7,3,{re--search}>er>>s>,"{r""i-.-s3`tS}.>@`>>z>",4,NN,750.531,-0.141,299.515,32,1.0,0.008176674277179255,0.12360000000000015
578,advertisers,11,5,"2,489",7.82,0.470,1.398,0.230,1.301,0,1,1,0,0,#,6.732,6.732,#,#,#,#,#,#,#,3.450,6.585,4.300,6.398,#,0.541,0,1.121,11.000,#,#,#,#,#,#,#,#,"27,386","2,738.600","3,535","""ad.v@`.t%aIz.@`z",9,4,{advert--ise}>er>>s>,"{""ad.v@`.t--%aIz}.>@`>>z>",4,NN,872.636,0.229,309.384,33,1.0,0.0003285270914938094,0.12360000000000015
18667,installment,11,5,918,6.822,0.490,1.415,0.270,1.380,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.750,6.175,3.300,6.581,2.540,0.550,1,#,#,#,4.420,4.430,5.540,2,1,5,2,"27,569","2,756.900","3,454","In.st""Ol.m@nt",10,3,{in--stall}>ment>,"{In-.-st""Ol}.>m@nt>",3,NN,739.824,-0.100,314.242,34,1.0,0.006351523768880315,0.12360000000000015
10559,distraction,11,3,"1,297",7.168,3.920,2.303,1.910,2.207,0,1,1,0,0,#,9.448,9.448,#,#,#,#,#,#,#,2.600,7.041,2.400,7.165,2.460,0.476,0,1.933,9.580,#,4.050,3.940,4.000,28,9,97,55,"27,493","2,749.300","4,918","dI.str""ak.Sn=",9,3,{dis--tract}>ion>,"{dI.s--tr""ak.S$}>n=>",3,NN,735.147,-0.218,243.021,34,1.0,0.0035772949962659248,0.12360000000000015
38263,unrealistic,11,3,"1,949",7.575,1.100,1.756,0.600,1.708,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.950,5.384,4.600,5.361,1.890,0.455,0,1.982,9.580,#,3.550,4.390,3.910,6,5,62,41,"27,503","2,750.300","3,244","%Vn.ri@l.""Ist.Ik",11,4,<un<{real}>ist>>ic>,"<%Vn<.{ri@l}.>""Ist>.>Ik>",4,JJ,730.735,-0.151,271.989,34,1.0,0.003942325097925713,0.12360000000000015
6950,complaining,11,5,"8,067",8.996,11.200,2.757,6.020,2.704,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.300,7.504,2.600,7.829,#,0.531,0,1.995,7.280,#,#,#,#,23,8,55,19,"27,510","2,751.000","4,749","k@m.pl""en.IN",9,3,{complain}>ing>,"{k@m.pl""en}.>IN>",2,VB,739.061,-0.172,254.010,33,1.0,0.004197846169087564,0.12360000000000015
10482,disseminate,11,#,936,6.842,0.080,0.699,0.050,0.699,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.500,5.011,3.150,6.373,2.190,0.454,0,1.550,13.330,#,#,#,#,6,5,15,11,"27,519","2,751.900","4,174","dI.s""E.m@.net",9,4,{dis--semin--ate},"{dI-.-s""E.m@.n--et}",3,VB,"1,076.250",0.709,500.657,24,0.75,0.0045263732605813735,0.12639999999999985
8566,culmination,11,4,523,6.26,0.410,1.342,0.210,1.279,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,2.900,5.989,3.150,5.945,1.960,0.464,0,2.083,12.110,#,5.850,3.430,5.200,3,3,9,9,"27,563","2,756.300","4,228","k%Vl.m@.n""e.Sn=",9,4,{culminate}>ion>,"{k%Vl.m@.n""e.S$}>n=>",2,NN,970.958,0.393,336.079,24,0.73,0.006132505707884442,0.14639999999999986
38284,unremitting,11,1,32,3.466,0.060,0.602,0.040,0.602,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.750,5.472,4.150,4.732,1.840,0.203,0,1.871,15.530,#,#,#,#,1,1,1,1,"27,306","2,730.600","3,419","%Vn.rI.m""I4.IN",9,4,<un<{re--mit}>ing>,"<%Vn<.{rI-.-m""I4}.>IN>",4,JJ,"1,013.478",0.675,376.492,23,0.7,0.0032487679047721154,0.1763999999999999
25951,permutation,11,#,348,5.852,0.060,0.602,0.040,0.602,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,3.100,6.424,3.600,5.974,2.260,0.559,2,#,14.400,#,#,#,#,2,2,8,4,"27,655","2,765.500","3,889","p%3`.mj@t.""e.Sn=",9,4,{per--mute}>ation>,"{p%3`-.-mj@t$}.>""e.Sn=>",3,NN,"1,003.045",0.904,315.087,22,0.69,0.009490782643154493,0.1863999999999999
16303,harebrained,11,#,26,3.258,0.450,1.380,0.260,1.362,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.300,5.717,3.850,4.367,1.560,0.157,0,#,12.670,#,4.050,4.280,4.580,#,#,1,1,"27,150","2,715.000","3,397","h""Er.br%end",8,2,{hare}{brain}>ed>,"{h""Er}.{br%en}>d>",3,JJ,"1,003.800",1.046,303.807,20,0.65,0.00894323749066481,0.22639999999999982
26892,pontificate,11,#,245,5.501,0.040,0.477,0.020,0.477,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.150,5.867,4.550,7.549,#,0.375,0,0.597,14.920,#,#,#,#,4,4,26,21,"27,450","2,745.000","3,818","pAn.t""If.Ik.et",10,4,{pontiff}>ic>>ate>,"{pAn.t""If}.>Ik>.>et>",3,VB,956.444,0.729,271.921,9,0.28,0.0020076655591288353,0.5963999999999998
7446,consonantal,11,9,19,2.944,#,#,#,#,0,0,0,0,0,#,#,0.0,#,#,#,#,#,#,#,4.250,6.451,4.800,6.028,#,0.406,0,#,15.700,#,#,#,#,#,#,#,#,"27,192","2,719.200","4,882","k%An.s@.n""an4.l=",10,4,{con--son--ant}>al>,"{k%An-.-s@.n--""an4$}.>l=>",4,JJ,976.800,1.118,430.519,5,0.17,0.007410111063693701,0.7063999999999998
